id,clip,stimulus,trustworthy,wealthy,kind,intelligent,honest,educated,humorous,confident,accent
323,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
323,standard_clip5,NA,3,3,3,3,3,4,3,3,standard
330,standard_clip1,NA,5,5,5,5,5,5,3,5,standard
330,standard_clip2,NA,5,5,5,6,5,5,3,6,standard
330,standard_clip3,NA,5,5,5,6,5,5,3,6,standard
330,standard_clip5,NA,5,5,5,6,5,6,3,6,standard
332,standard_clip1,NA,4,5,3,4,4,4,4,6,standard
332,standard_clip2,NA,5,5,5,5,5,5,4,5,standard
332,standard_clip3,NA,3,5,4,3,4,3,3,5,standard
332,standard_clip5,NA,4,5,4,5,4,5,3,6,standard
339,standard_clip1,NA,4,4,3,4,3,4,3,4,standard
339,standard_clip2,NA,4,3,3,4,3,4,3,5,standard
339,standard_clip3,NA,4,4,4,4,3,4,3,5,standard
339,standard_clip5,NA,4,4,4,4,3,4,4,4,standard
34,standard_clip1,NA,4,4,4,4,4,4,4,5,standard
34,standard_clip2,NA,4,4,4,4,4,4,4,4,standard
34,standard_clip3,NA,5,5,5,5,5,5,5,5,standard
34,standard_clip5,NA,4,4,4,4,4,4,4,4,standard
347,standard_clip1,NA,3,3,3,3,3,3,3,3,standard
347,standard_clip2,NA,3,3,3,3,3,3,3,3,standard
347,standard_clip3,NA,3,3,3,3,3,3,3,3,standard
347,standard_clip5,NA,3,3,3,3,3,3,3,3,standard
352,standard_clip1,NA,4,3,5,2,2,4,2,4,standard
352,standard_clip2,NA,5,5,5,5,5,3,5,5,standard
352,standard_clip3,NA,5,3,5,3,4,3,3,5,standard
352,standard_clip5,NA,5,3,5,3,3,3,3,5,standard
358,standard_clip1,NA,4,4,4,4,4,4,4,4,standard
358,standard_clip2,NA,2,4,4,4,4,4,4,4,standard
358,standard_clip3,NA,2,4,4,4,4,4,5,4,standard
358,standard_clip5,NA,4,4,4,4,4,4,4,4,standard
363,standard_clip1,NA,1,1,3,1,2,1,1,4,standard
363,standard_clip2,NA,4,4,4,4,3,5,2,5,standard
363,standard_clip3,NA,4,2,2,5,2,5,0,6,standard
363,standard_clip5,NA,1,1,1,1,1,2,1,3,standard
44,standard_clip1,NA,5,3,4,5,5,4,4,4,standard
44,standard_clip2,NA,3,3,5,4,5,4,4,4,standard
44,standard_clip3,NA,3,5,4,5,5,4,4,4,standard
44,standard_clip5,NA,4,5,4,4,3,3,2,5,standard
52,standard_clip1,NA,4,3,5,4,3,4,4,5,standard
52,standard_clip2,NA,3,3,3,3,3,3,4,4,standard
52,standard_clip3,NA,4,3,3,3,4,3,4,4,standard
52,standard_clip5,NA,4,4,4,4,4,4,3,5,standard
69,standard_clip1,NA,3,3,3,3,3,3,3,4,standard
69,standard_clip2,NA,3,3,3,3,3,3,3,4,standard
69,standard_clip3,NA,3,3,3,3,3,3,3,4,standard
69,standard_clip5,NA,3,3,3,4,3,5,3,5,standard
70,standard_clip1,NA,3,3,3,3,3,4,3,5,standard
70,standard_clip2,NA,3,3,4,3,3,3,3,5,standard
70,standard_clip3,NA,3,3,4,3,4,3,3,5,standard
70,standard_clip5,NA,3,3,4,3,4,3,3,4,standard
83,standard_clip1,NA,5,3,3,4,3,4,3,5,standard
83,standard_clip2,NA,4,3,3,4,4,4,4,4,standard
83,standard_clip3,NA,5,3,4,5,5,4,5,5,standard
83,standard_clip5,NA,5,4,3,5,3,5,4,6,standard
91,standard_clip1,NA,3,4,3,3,3,3,3,3,standard
91,standard_clip2,NA,4,3,3,4,3,4,3,5,standard
91,standard_clip3,NA,4,4,4,4,4,3,3,4,standard
91,standard_clip5,NA,3,4,3,4,4,4,3,4,standard
103,taiwan_clip1,NA,3,3,3,3,3,3,3,2,taiwan
103,taiwan_clip2,NA,3,3,3,3,3,3,3,3,taiwan
103,taiwan_clip3,NA,3,3,3,3,3,3,3,2,taiwan
103,taiwan_clip5,NA,3,3,3,3,3,3,3,3,taiwan
105,taiwan_clip1,NA,4,3,4,4,3,4,3,4,taiwan
